Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Accession	MIM Morbid Description	Ensembl Gene ID	Description	Gene type
RP3-417O22.3	97233013	97243697			ENSG00000224384		antisense
BX255972.1	34438567	34438706			ENSG00000221635		miRNA
SYNJ2	158402888	158520208			ENSG00000078269	synaptojanin 2 [Source:HGNC Symbol;Acc:11504]	protein_coding
RP3-391O22.3	34544035	34544433			ENSG00000196114		pseudogene
RN7SL509P	97362577	97362871			ENSG00000263479	RNA, 7SL, cytoplasmic 509, pseudogene [Source:HGNC Symbol;Acc:46525]	misc_RNA
RP3-418C23.2	97731179	97757924			ENSG00000226684		lincRNA
RPL7P25	34584315	34585035			ENSG00000216636	ribosomal protein L7 pseudogene 25 [Source:HGNC Symbol;Acc:36455]	pseudogene
SIRT5	13574816	13614790			ENSG00000124523	sirtuin 5 [Source:HGNC Symbol;Acc:14933]	protein_coding
RP1-104O17.1	98150157	98155979			ENSG00000224849		lincRNA
snoU13	34650575	34650679			ENSG00000239059	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RP1-104O17.2	98155635	98180588			ENSG00000242486		lincRNA
RN7SL200P	34653134	34653419			ENSG00000265123	RNA, 7SL, cytoplasmic 200, pseudogene [Source:HGNC Symbol;Acc:46216]	misc_RNA
RP3-391O22.1	34654379	34654883			ENSG00000220643		pseudogene
RP1-104O17.3	98158829	98165073			ENSG00000226207		lincRNA
RP11-436D23.1	98264585	98847748			ENSG00000271860		lincRNA
snoU13	34660557	34660660			ENSG00000238484	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RP11-140K17.3	34664094	34665247			ENSG00000272288		antisense
MIR2113	98472407	98472497			ENSG00000238367	microRNA 2113 [Source:HGNC Symbol;Acc:37058]	miRNA
RP11-140K17.2	34683390	34683717			ENSG00000186328		pseudogene
EIF4EBP2P3	98627375	98627708			ENSG00000220505	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 3 [Source:HGNC Symbol;Acc:49318]	pseudogene
RP11-111D3.2	98657896	98662559			ENSG00000236920		lincRNA
RP3-375P9.2	34711953	34712450			ENSG00000217130		pseudogene
RP3-453D15.1	99006310	99006447			ENSG00000235504		lincRNA
RP1-81D8.4	161087260	161097555			ENSG00000243831		pseudogene
Y_RNA	34789222	34789319			ENSG00000206717	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RP11-67P15.1	99228133	99241868			ENSG00000187472		pseudogene
HSPE1P11	34991299	34991608			ENSG00000187762	heat shock 10kDa protein 1 pseudogene 11 [Source:HGNC Symbol;Acc:49330]	pseudogene
RP3-364H10.1	99530325	99530637			ENSG00000271042		pseudogene
AL138721.1	35101231	35101315			ENSG00000264241		miRNA
MIR548AI	99572485	99572572			ENSG00000265226	microRNA 548ai [Source:HGNC Symbol;Acc:41854]	miRNA
RP3-329A5.8	35188147	35192407			ENSG00000272374		lincRNA
SPATS1	44310397	44344904			ENSG00000249481	spermatogenesis associated, serine-rich 1 [Source:HGNC Symbol;Acc:22957]	protein_coding
BDH2P1	99622620	99623357			ENSG00000232699	3-hydroxybutyrate dehydrogenase, type 2 pseudogene 1 [Source:HGNC Symbol;Acc:21476]	pseudogene
RP1-81D8.3	161119320	161121664			ENSG00000224477		lincRNA
RP3-329A5.1	35246954	35247596			ENSG00000217004		pseudogene
RP11-98I9.4	99872798	99879249			ENSG00000228506		antisense
MKRNP2	35410821	35417643			ENSG00000227154		pseudogene
RP11-235G24.1	161293920	161339681			ENSG00000224371		lincRNA
TSTD3	99968569	99979794			ENSG00000228439	thiosulfate sulfurtransferase (rhodanese)-like domain containing 3 [Source:HGNC Symbol;Acc:40910]	antisense
RP11-235G24.2	161326802	161334670			ENSG00000220913		pseudogene
RP1-199J3.7	100015973	100016972			ENSG00000272017		antisense
RP1-199J3.5	100023588	100024332			ENSG00000219755		pseudogene
Y_RNA	100090113	100090223			ENSG00000199303	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RP11-235G24.3	161347401	161348194			ENSG00000233342		lincRNA
MCHR2-AS1	100441820	100524289			ENSG00000229315	MCHR2 antisense RNA 1 [Source:HGNC Symbol;Acc:48980]	antisense
RP3-340B19.3	35512409	35513446			ENSG00000228559		lincRNA
RP3-428L16.1	161352112	161390803			ENSG00000231863		antisense
RP3-340B19.2	35523650	35524041			ENSG00000219023		pseudogene
RP3-428L16.2	161411350	161413374			ENSG00000272841		antisense
NPM1P38	100498248	100499112			ENSG00000219257	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 38 [Source:HGNC Symbol;Acc:45217]	pseudogene
AL035697.1	162036098	162036191			ENSG00000221021		miRNA
RP3-340B19.5	35575405	35575711			ENSG00000218749		pseudogene
KRT8P44	162989411	162990760			ENSG00000227913	keratin 8 pseudogene 44 [Source:HGNC Symbol;Acc:39878]	pseudogene
PRDX2P4	100583940	100584539			ENSG00000213177	peroxiredoxin 2 pseudogene 4 [Source:HGNC Symbol;Acc:44969]	pseudogene
SNORA40	35619595	35619722			ENSG00000212579	Small nucleolar RNA SNORA40 [Source:RFAM;Acc:RF00561]	snoRNA
RP11-157L10.1	163378290	163378580			ENSG00000217557		pseudogene
MIR5690	35632494	35632566			ENSG00000265527	microRNA 5690 [Source:HGNC Symbol;Acc:43490]	miRNA
AL157823.1	35668780	35668915			ENSG00000223063		miRNA
RP3-510O8.4	35701644	35704724			ENSG00000232909		antisense
RP1-257A15.1	163463589	163475193			ENSG00000225437		antisense
RP3-510O8.3	35733685	35734704			ENSG00000220734		pseudogene
DPRXP2	35957292	35958213			ENSG00000271304	divergent-paired related homeobox pseudogene 2 [Source:HGNC Symbol;Acc:32168]	pseudogene
snoU13	163647942	163648037			ENSG00000239136	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RP1-179N16.3	36059768	36060423			ENSG00000237719		pseudogene
RP3-495O10.1	163784242	163784495			ENSG00000217514		pseudogene
Z95152.1	36108275	36108365			ENSG00000221743		miRNA
RP1-179N16.6	36114475	36164982			ENSG00000246982		antisense
CAHM	163834097	163834992			ENSG00000270419	colon adenocarcinoma hypermethylated (non-protein coding) [Source:HGNC Symbol;Acc:42860]	lincRNA
RP3-344J20.1	100625085	100626068			ENSG00000216378		pseudogene
RP5-826L7.1	164007615	164009197			ENSG00000228692		lincRNA
RP1-121G13.2	100874994	100885360			ENSG00000228082		antisense
RP1-230L10.1	164124936	164180873			ENSG00000235538		lincRNA
RN7SL366P	164261593	164261882			ENSG00000266128	RNA, 7SL, cytoplasmic 366, pseudogene [Source:HGNC Symbol;Acc:46382]	misc_RNA
RP1-121G13.3	100978152	100978928			ENSG00000220695		pseudogene
RP1-155D22.2	164505055	164506693			ENSG00000260422		lincRNA
RP1-155D22.1	164529652	164530726			ENSG00000230627		lincRNA
RP1-50J22.4	36354608	36359771			ENSG00000224666		antisense
RN7SL502P	36418692	36418978			ENSG00000240733	RNA, 7SL, cytoplasmic 502, pseudogene [Source:HGNC Symbol;Acc:46518]	misc_RNA
Z85986.1	36478294	36478375			ENSG00000264878		miRNA
RP3-467N11.1	101329347	101330863			ENSG00000260000		antisense
RN7SL748P	36489968	36490275			ENSG00000239964	RNA, 7SL, cytoplasmic 748, pseudogene [Source:HGNC Symbol;Acc:46764]	misc_RNA
RP11-347L18.1	164767522	164769677			ENSG00000226739		lincRNA
MIR3925	36590213	36590289			ENSG00000263894	microRNA 3925 [Source:HGNC Symbol;Acc:38996]	miRNA
RNU1-88P	36607322	36607449			ENSG00000238554	RNA, U1 small nuclear 88, pseudogene [Source:HGNC Symbol;Acc:48430]	snRNA
RP11-300M24.1	165241239	165245119			ENSG00000227455		lincRNA
Y_RNA	36640615	36640721			ENSG00000251864	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RP3-467N11.2	101337479	101338214			ENSG00000270987		pseudogene
LAP3P2	36641594	36643047			ENSG00000213500	leucine aminopeptidase 3 pseudogene 2 [Source:HGNC Symbol;Acc:42365]	pseudogene
RP11-534P19.1	165530684	165531013			ENSG00000217878		pseudogene
RNA5SP226	165823051	165823165			ENSG00000199523	RNA, 5S ribosomal pseudogene 226 [Source:HGNC Symbol;Acc:43126]	rRNA
snoU13	101405036	101405139			ENSG00000238999	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RNU6-730P	166131723	166131826			ENSG00000206681	RNA, U6 small nuclear 730, pseudogene [Source:HGNC Symbol;Acc:47693]	snRNA
RP11-93K7.1	101878287	101879429			ENSG00000218475		pseudogene
RP11-252P19.1	166167677	166189268			ENSG00000236627		lincRNA
RP11-252P19.2	166186689	166188674			ENSG00000223942		lincRNA
RP3-431A14.4	36704827	36705763			ENSG00000220349		pseudogene
AP002530.2	102526747	102527430			ENSG00000218536		pseudogene
RP1-90K10.4	36907847	36912451			ENSG00000232598		lincRNA
LINC00473	166322290	166401536			ENSG00000223414	long intergenic non-protein coding RNA 473 [Source:HGNC Symbol;Acc:21160]	lincRNA
RPL12P2	37059088	37059582			ENSG00000216412	ribosomal protein L12 pseudogene 2 [Source:HGNC Symbol;Acc:16070]	pseudogene
RP11-793L10.1	102901242	102901667			ENSG00000219757		pseudogene
SNORD112	37151373	37151444			ENSG00000252687	Small nucleolar RNA SNORD112 [Source:RFAM;Acc:RF01169]	snoRNA
RP1-76C18.1	103450389	103451772			ENSG00000217120		pseudogene
snoU13	37218980	37219082			ENSG00000238375	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
AL590482.1	166355759	166355829			ENSG00000252196		miRNA
SNORA33	104031010	104031143			ENSG00000202283	Small nucleolar RNA SNORA33 [Source:RFAM;Acc:RF00438]	snoRNA
RN7SL273P	37328961	37329256			ENSG00000239953	RNA, 7SL, cytoplasmic 273, pseudogene [Source:HGNC Symbol;Acc:46289]	misc_RNA
R3HDM2P2	104465508	104467623			ENSG00000216817	R3H domain containing 2 pseudogene 2 [Source:HGNC Symbol;Acc:44057]	pseudogene
GAPDHP72	166477779	166478788			ENSG00000216624	glyceraldehyde-3-phosphate dehydrogenase pseudogene 72 [Source:HGNC Symbol;Acc:22955]	pseudogene
RP1-153P14.8	37475124	37503392			ENSG00000204110		lincRNA
NPM1P10	104473415	104474638			ENSG00000214428	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 10 [Source:HGNC Symbol;Acc:7912]	pseudogene
RP1-153P14.3	37511329	37515056			ENSG00000229559		pseudogene
RP11-427E4.1	105135116	105135546			ENSG00000218173		pseudogene
RNU6-897P	105214697	105214801			ENSG00000252944	RNA, U6 small nuclear 897, pseudogene [Source:HGNC Symbol;Acc:47860]	snRNA
RP11-809N15.2	105279004	105293695			ENSG00000227535		sense_overlapping
SNORD45	166513153	166526761			ENSG00000231297	Small nucleolar RNA SNORD45 [Source:RFAM;Acc:RF00279]	lincRNA
RP11-809N15.3	105308324	105309998			ENSG00000271099		pseudogene
RNU6-153P	166622891	166622994			ENSG00000201292	RNA, U6 small nuclear 153, pseudogene [Source:HGNC Symbol;Acc:47116]	snRNA
LINC00577	105384169	105388402			ENSG00000203809	long intergenic non-protein coding RNA 577 [Source:HGNC Symbol;Acc:21553]	lincRNA
RP4-655C5.4	166650457	166657197			ENSG00000233365		lincRNA
GNG5P1	166653778	166653981			ENSG00000213536	guanine nucleotide binding protein (G protein), gamma 5 pseudogene 1 [Source:HGNC Symbol;Acc:4409]	pseudogene
RNU6-1106P	105493437	105493543			ENSG00000212147	RNA, U6 small nuclear 1106, pseudogene [Source:HGNC Symbol;Acc:48069]	snRNA
RP1-153P14.5	37512921	37518636			ENSG00000227920		lincRNA
HNRNPA1P49	166748056	166748959			ENSG00000233231	heterogeneous nuclear ribonucleoprotein A1 pseudogene 49 [Source:HGNC Symbol;Acc:48779]	pseudogene
BVES-AS1	105584183	105617820			ENSG00000203808	BVES antisense RNA 1 [Source:HGNC Symbol;Acc:21223]	antisense
MIR4462	37523141	37523198			ENSG00000263926	microRNA 4462 [Source:HGNC Symbol;Acc:41549]	miRNA
RP3-441A12.1	37783553	37786994			ENSG00000225945		antisense
RP1-168L15.5	166796677	166798312			ENSG00000261420		antisense
RN7SL285P	37800698	37800961			ENSG00000243313	RNA, 7SL, cytoplasmic 285, pseudogene [Source:HGNC Symbol;Acc:46301]	misc_RNA
RPS6KA2-IT1	166874151	166878871			ENSG00000232082	RPS6KA2 intronic transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:41378]	sense_intronic
RNU1-87P	37883349	37883518			ENSG00000200597	RNA, U1 small nuclear 87, pseudogene [Source:HGNC Symbol;Acc:48429]	snRNA
AL359709.1	105629024	105629107			ENSG00000221544		miRNA
RP11-420A21.1	37970608	37971089			ENSG00000218521		pseudogene
AL359709.2	105644728	105644811			ENSG00000252918		miRNA
MIR1913	166922842	166922921			ENSG00000222958	microRNA 1913 [Source:HGNC Symbol;Acc:35397]	miRNA
RP3-355L5.5	105721095	105721635			ENSG00000272102		lincRNA
SNORD45	38175050	38175121			ENSG00000200706	Small nucleolar RNA SNORD45 [Source:RFAM;Acc:RF00279]	snoRNA
FAM103A2P	166999612	166999965			ENSG00000235272	family with sequence similarity 103, member A2 pseudogene [Source:HGNC Symbol;Acc:21234]	pseudogene
RP3-355L5.4	105726891	105729630			ENSG00000231628		antisense
AL031905.1	38326924	38327005			ENSG00000238716		miRNA
RP3-497J21.1	167114582	167116327			ENSG00000235008		pseudogene
BTBD9-AS1	38449468	38450307			ENSG00000226533	BTBD9 antisense RNA 1 [Source:HGNC Symbol;Acc:40959]	antisense
RP3-355L5.3	105746024	105746770			ENSG00000216639		pseudogene
Y_RNA	38533726	38533831			ENSG00000199938	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RP1-319M7.2	38555099	38556305			ENSG00000217227		pseudogene
RPS6KA2-AS1	167317186	167318323			ENSG00000231654	RPS6KA2 antisense RNA 1 [Source:HGNC Symbol;Acc:40511]	antisense
RPL35P3	105750328	105750698			ENSG00000219902	ribosomal protein L35 pseudogene 3 [Source:HGNC Symbol;Acc:35488]	pseudogene
AL133458.1	167357853	167360151			ENSG00000197146		pseudogene
RP1-167A14.2	167383114	167412553			ENSG00000227598		antisense
RP3-503A6.2	38681827	38682993			ENSG00000236355		lincRNA
RP3-359N14.2	106060542	106080071			ENSG00000237567		lincRNA
MIR3939	167411295	167411400			ENSG00000265828	microRNA 3939 [Source:HGNC Symbol;Acc:38931]	miRNA
RN7SL465P	38711862	38712159			ENSG00000244297	RNA, 7SL, cytoplasmic 465, pseudogene [Source:HGNC Symbol;Acc:46481]	misc_RNA
RP1-217P22.2	38730681	38732470			ENSG00000219273		pseudogene
RP3-359N14.1	106114201	106115873			ENSG00000219088		pseudogene
RP11-517H2.6	167412893	167552629			ENSG00000272980		processed_transcript
RN7SKP211	106352248	106352562			ENSG00000200198	RNA, 7SK small nuclear pseudogene 211 [Source:HGNC Symbol;Acc:45935]	misc_RNA
RP1-134E15.3	106548015	106548468			ENSG00000269919		sense_intronic
SNORA8	38790083	38790180			ENSG00000212586	Small nucleolar RNA SNORA8 [Source:RFAM;Acc:RF00393]	snoRNA
RN7SL47P	106731290	106731586			ENSG00000244710	RNA, 7SL, cytoplasmic 47, pseudogene [Source:HGNC Symbol;Acc:46063]	misc_RNA
RNU6-344P	106752051	106752161			ENSG00000252444	RNA, U6 small nuclear 344, pseudogene [Source:HGNC Symbol;Acc:47307]	snRNA
RP1-207H1.3	38890805	38920875			ENSG00000231150		antisense
RP11-568A7.1	167622119	167622385			ENSG00000216966		pseudogene
RP11-404H14.1	106806441	106807592			ENSG00000233941		antisense
Y_RNA	106868581	106868682			ENSG00000207499	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RNA5SP211	106897256	106897372			ENSG00000202386	RNA, 5S ribosomal pseudogene 211 [Source:HGNC Symbol;Acc:43111]	rRNA
MAP3K5	136878185	137113656			ENSG00000197442	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:6857]	protein_coding
Y_RNA	106902703	106902804			ENSG00000200314	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RNU6-527P	107055591	107055694			ENSG00000200295	RNA, U6 small nuclear 527, pseudogene [Source:HGNC Symbol;Acc:47490]	snRNA
RP11-568A7.3	167650996	167653968			ENSG00000231720		lincRNA
RPL21P65	107090338	107090803			ENSG00000216977	ribosomal protein L21 pseudogene 65 [Source:HGNC Symbol;Acc:36017]	pseudogene
RP1-207H1.2	38895807	38895929			ENSG00000220076		pseudogene
RP11-568A7.2	167655379	167659404			ENSG00000228648		lincRNA
RP1-60O19.2	107143410	107147869			ENSG00000229654		lincRNA
RP3-366N23.4	167760960	167761541			ENSG00000217447		pseudogene
RP1-202I21.3	39007379	39007761			ENSG00000220556		pseudogene
SUMO4	149721495	149722177	600320	 DIABETES MELLITUS, INSULIN-DEPENDENT, 5; IDDM5	ENSG00000177688	small ubiquitin-like modifier 4 [Source:HGNC Symbol;Acc:21181]	protein_coding
RP11-351J23.2	168067520	168079950			ENSG00000272549		lincRNA
ANKRD18EP	39078097	39080728			ENSG00000217165	ankyrin repeat domain 18E, pseudogene [Source:HGNC Symbol;Acc:43609]	pseudogene
RP1-60O19.1	107165327	107235416			ENSG00000235142		lincRNA
RP11-351J23.1	168080306	168084467			ENSG00000203688		lincRNA
RP3-431P23.2	168167763	168169248			ENSG00000213065		pseudogene
RP1-137F1.3	39321523	39321948			ENSG00000218986		pseudogene
E2F4P1	39521587	39522719			ENSG00000231276	E2F transcription factor 4, p107/p130-binding pseudogene 1 [Source:HGNC Symbol;Acc:38684]	pseudogene
MLLT4-AS1	168224556	168227389			ENSG00000198221	MLLT4 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:21236]	processed_transcript
RNU1-54P	39588121	39588240			ENSG00000252990	RNA, U1 small nuclear 54, pseudogene [Source:HGNC Symbol;Acc:48396]	snRNA
RP11-61I13.3	39849580	39867847			ENSG00000235033		antisense
RP3-470B24.5	168376604	168380456			ENSG00000235994		lincRNA
KIF25-AS1	168393502	168397757			ENSG00000229921	KIF25 antisense RNA 1 [Source:HGNC Symbol;Acc:20953]	lincRNA
RP1-278E11.3	39926153	39926572			ENSG00000180211		pseudogene
TUBBP9	39960554	39967972			ENSG00000220586	tubulin, beta class I pseudogene 9 [Source:HGNC Symbol;Acc:42178]	pseudogene
RNU6-117P	107186823	107186929			ENSG00000202285	RNA, U6 small nuclear 117, pseudogene [Source:HGNC Symbol;Acc:47080]	snRNA
RP11-503C24.1	168595038	168605181			ENSG00000234768		lincRNA
MIR587	107232000	107232095			ENSG00000207577	microRNA 587 [Source:HGNC Symbol;Acc:32843]	miRNA
RP11-552E20.1	40239305	40243976			ENSG00000227131		lincRNA
RNU6-1299P	107454275	107454374			ENSG00000252125	RNA, U6 small nuclear 1299, pseudogene [Source:HGNC Symbol;Acc:48262]	snRNA
RP11-503C24.2	168625959	168627197			ENSG00000237987		lincRNA
AL591516.5	107547242	107547443			ENSG00000214985		pseudogene
ZC3H12D	149768794	149806197			ENSG00000178199	zinc finger CCCH-type containing 12D [Source:HGNC Symbol;Acc:21175]	protein_coding
AL591516.3	107549615	107549859			ENSG00000203384		pseudogene
RP11-503C24.3	168630412	168641395			ENSG00000228361		lincRNA
TDRG1	40302693	40347624			ENSG00000204091	testis development related 1 (non-protein coding) [Source:HGNC Symbol;Acc:43642]	antisense
AL591516.2	107550448	107550687			ENSG00000203285		pseudogene
RP11-503C24.4	168643618	168663261			ENSG00000234647		lincRNA
C6orf89	36839646	36896740			ENSG00000198663	chromosome 6 open reading frame 89 [Source:HGNC Symbol;Acc:21114]	protein_coding
RPS24P12	107550963	107551356			ENSG00000220237	ribosomal protein S24 pseudogene 12 [Source:HGNC Symbol;Acc:35623]	pseudogene
CTAGE13P	168687585	168690030			ENSG00000230711	CTAGE family, member 13, pseudogene [Source:HGNC Symbol;Acc:37298]	pseudogene
RP11-503C24.6	168698749	168702794			ENSG00000224417		sense_intronic
AL591516.1	107555445	107555703			ENSG00000203284		pseudogene
AL591516.4	107558468	107558747			ENSG00000213167		pseudogene
AL590489.1	107584371	107584617			ENSG00000203281		pseudogene
IPCEF1	154475631	154677926			ENSG00000074706	interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:21204]	protein_coding
RP1-67A8.3	107831007	107832925			ENSG00000234206		antisense
RP1-39J2.1	168775377	168776035			ENSG00000260771		lincRNA
RNU6-437P	108251292	108251386			ENSG00000238420	RNA, U6 small nuclear 437, pseudogene [Source:HGNC Symbol;Acc:47400]	snRNA
AL391319.1	169067733	169068243			ENSG00000255905		pseudogene
RPL23AP50	108253004	108253458			ENSG00000232778	ribosomal protein L23a pseudogene 50 [Source:HGNC Symbol;Acc:35958]	pseudogene
RP1-191J18.66	108278617	108281190			ENSG00000272476		antisense
LINC00951	40312083	40313890			ENSG00000204092	long intergenic non-protein coding RNA 951 [Source:HGNC Symbol;Acc:48662]	lincRNA
RP1-191J18.65	108306293	108306894			ENSG00000224987		pseudogene
RP11-552E20.4	40326483	40337213			ENSG00000226070		lincRNA
RP1-125N5.2	169116745	169123604			ENSG00000235815		lincRNA
RNU6-250P	40375592	40375694			ENSG00000252767	RNA, U6 small nuclear 250, pseudogene [Source:HGNC Symbol;Acc:47213]	snRNA
SNORA73	108306863	108306983			ENSG00000253090	Small nucleolar RNA SNORA73 family [Source:RFAM;Acc:RF00045]	snoRNA
RP11-121P10.1	40469370	40470132			ENSG00000236075		sense_intronic
RP3-495K2.3	169362705	169364436			ENSG00000225879		lincRNA
MTHFD2P3	108307015	108307235			ENSG00000231112	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 3 [Source:HGNC Symbol;Acc:48866]	pseudogene
RPL3P7	108325561	108326772			ENSG00000225093	ribosomal protein L3 pseudogene 7 [Source:HGNC Symbol;Acc:36797]	pseudogene
RP3-462C17.1	40484075	40491672			ENSG00000226454		sense_intronic
RP1-111B22.3	108351453	108351922			ENSG00000271734		lincRNA
RP3-495K2.2	169434292	169435737			ENSG00000229720		lincRNA
Y_RNA	108382022	108382134			ENSG00000238490	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RP3-495K2.1	169467913	169469519			ENSG00000234519		lincRNA
OSTM1-AS1	108444719	108480596			ENSG00000225174	OSTM1 antisense RNA 1 [Source:HGNC Symbol;Acc:43666]	lincRNA
RP11-417E7.1	169558187	169563019			ENSG00000223485		lincRNA
BLOC1S5-TXNDC5	7881755	8064597			ENSG00000259040	BLOC1S5-TXNDC5 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:42001]	protein_coding
snoU13	108564659	108564762			ENSG00000238974	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RP1-128O3.5	108573418	108573604			ENSG00000233511		pseudogene
RP11-417E7.2	169575401	169582835			ENSG00000261039		lincRNA
RNA5SP212	108573605	108573711			ENSG00000212525	RNA, 5S ribosomal pseudogene 212 [Source:HGNC Symbol;Acc:43112]	rRNA
XXyac-YX65C7_A.2	169613349	169639660			ENSG00000226445		antisense
RP1-128O3.4	108596846	108597750			ENSG00000230248		lincRNA
RNU6-1144P	108613970	108614073			ENSG00000206974	RNA, U6 small nuclear 1144, pseudogene [Source:HGNC Symbol;Acc:48107]	snRNA
CDC5L	44355262	44418163			ENSG00000096401	cell division cycle 5-like [Source:HGNC Symbol;Acc:1743]	protein_coding
RP1-128O3.6	108639283	108639608			ENSG00000238055		pseudogene
XXyac-YX65C7_A.3	169686629	169689311			ENSG00000233085		lincRNA
XXyac-YX65C7_A.4	169696566	169698054			ENSG00000224999		pseudogene
RP11-72I2.1	108693976	108694131			ENSG00000238079		pseudogene
RP3-466I7.1	108708716	108709284			ENSG00000227072		pseudogene
RNU6-770P	108713277	108713381			ENSG00000200799	RNA, U6 small nuclear 770, pseudogene [Source:HGNC Symbol;Acc:47733]	snRNA
RP1-137D17.1	169770093	169788480			ENSG00000226194		lincRNA
RP11-697G4.4	108872221	108872410			ENSG00000271608		pseudogene
SUMO2P8	108939203	108939488			ENSG00000228976	SUMO2 pseudogene 8 [Source:HGNC Symbol;Acc:39018]	pseudogene
RP1-137D17.2	169826515	169827164			ENSG00000272848		lincRNA
AL513547.1	170097344	170097429			ENSG00000265654		miRNA
RP1-266L20.2	170125187	170125950			ENSG00000232640		antisense
RPS18	33239787	33244287			ENSG00000231500	ribosomal protein S18 [Source:HGNC Symbol;Acc:10401]	protein_coding
LINC00222	109072857	109091145			ENSG00000203801	long intergenic non-protein coding RNA 222 [Source:HGNC Symbol;Acc:21560]	lincRNA
RP1-266L20.4	170125600	170139088			ENSG00000227704		antisense
RP1-266L20.9	170170509	170172138			ENSG00000266896		sense_intronic
LINC00242	170188886	170198921			ENSG00000229214	long intergenic non-protein coding RNA 242 [Source:HGNC Symbol;Acc:21249]	lincRNA
LINC00574	170190417	170202969			ENSG00000231690	long intergenic non-protein coding RNA 574 [Source:HGNC Symbol;Acc:21598]	lincRNA
RP1-182D15.2	170209414	170210198			ENSG00000236173		lincRNA
PHACTR2	143857982	144152322			ENSG00000112419	phosphatase and actin regulator 2 [Source:HGNC Symbol;Acc:20956]	protein_coding
RP11-302L19.1	170477741	170478251			ENSG00000232197		antisense
RP11-302L19.3	170493905	170494884			ENSG00000273100		lincRNA
RPL12P23	170514993	170515482			ENSG00000218716	ribosomal protein L12 pseudogene 23 [Source:HGNC Symbol;Acc:36408]	pseudogene
ZNF259P1	109103329	109108256			ENSG00000219565	zinc finger protein 259 pseudogene 1 [Source:HGNC Symbol;Acc:13052]	pseudogene
BLOC1S5	8013800	8064647			ENSG00000188428	biogenesis of lysosomal organelles complex-1, subunit 5, muted [Source:HGNC Symbol;Acc:18561]	protein_coding
RP5-1086L22.1	170563422	170571657			ENSG00000230960		antisense
RP5-894D12.5	170575757	170585850			ENSG00000271820		lincRNA
RP3-354J5.3	109138883	109139129			ENSG00000231559		pseudogene
RP11-249L21.2	109177603	109177940			ENSG00000218872		pseudogene
RP5-894D12.3	170581562	170588975			ENSG00000227508		lincRNA
RP5-894D12.4	170606964	170607463			ENSG00000271234		lincRNA
RP11-249L21.4	109228818	109229076			ENSG00000228834		pseudogene
MIR4644	170639849	170639932			ENSG00000266245	microRNA 4644 [Source:HGNC Symbol;Acc:41687]	miRNA
ARMC2-AS1	109244179	109245306			ENSG00000230290	ARMC2 antisense RNA 1 [Source:HGNC Symbol;Acc:41008]	antisense
RP1-140C12.2	170723227	170728413			ENSG00000261003		sense_overlapping
RP11-787I22.3	109319685	109320328			ENSG00000271730		antisense
RNU6-653P	109380712	109380817			ENSG00000199944	RNA, U6 small nuclear 653, pseudogene [Source:HGNC Symbol;Acc:47616]	snRNA
RP11-425D10.1	109609643	109609765			ENSG00000233908		pseudogene
PTCHD3P3	109609774	109611706			ENSG00000219700	patched domain containing 3 pseudogene 3 [Source:HGNC Symbol;Acc:44947]	pseudogene
CCDC162P	109612231	109676266			ENSG00000203799	coiled-coil domain containing 162, pseudogene [Source:HGNC Symbol;Acc:21565]	pseudogene
PPIL4	149825869	149867174			ENSG00000131013	peptidylprolyl isomerase (cyclophilin)-like 4 [Source:HGNC Symbol;Acc:15702]	protein_coding
E2F3	20402398	20493941			ENSG00000112242	E2F transcription factor 3 [Source:HGNC Symbol;Acc:3115]	protein_coding
B3GALT4	33244917	33252609			ENSG00000235863	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4 [Source:HGNC Symbol;Acc:919]	protein_coding
snoU13	109612458	109612561			ENSG00000238474	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
